id,type,breed,age,gender,size,description,name,status,published_at
65524035,Cat,Domestic Short Hair,Baby,Male,Small,,Spanky,adoptable,2023-07-20T17:06:15+0000
65524033,Cat,Domestic Short Hair,Baby,Male,Small,,Smokey 2,adoptable,2023-07-20T17:06:15+0000
65524030,Cat,Tabby,Young,Male,Medium,"Hi I am Clatrap. I am about 1 yr 1/2 yrs old gorgeous ginger tabby boy. 
I am very talkative,...",Trapper,adoptable,2023-07-20T17:06:07+0000
65524013,Cat,Domestic Short Hair,Baby,Male,Small,,Lincoln,adoptable,2023-07-20T17:06:04+0000
65524023,Cat,Domestic Medium Hair,Adult,Female,Medium,,Toot,adoptable,2023-07-20T17:06:04+0000
65524024,Cat,Domestic Short Hair,Adult,Male,Medium,,Rowdy,adoptable,2023-07-20T17:06:04+0000
65524029,Cat,Domestic Short Hair,Baby,Male,Medium,,Luke,adoptable,2023-07-20T17:06:04+0000
65524025,Cat,Domestic Short Hair,Baby,Female,Small,,Lorraine,adoptable,2023-07-20T17:06:04+0000
65524019,Cat,Domestic Short Hair,Baby,Male,Medium,,Leonard,adoptable,2023-07-20T17:06:04+0000
65524011,Cat,Domestic Short Hair,Young,Female,Medium,,Louise,adoptable,2023-07-20T17:06:04+0000
65524016,Cat,Domestic Short Hair,Adult,Male,Large,,Joe,adoptable,2023-07-20T17:06:04+0000
65524021,Cat,Domestic Short Hair,Baby,Male,Medium,,Lionel,adoptable,2023-07-20T17:06:04+0000
65524012,Cat,Domestic Short Hair,Baby,Male,Small,,Buttercup,adoptable,2023-07-20T17:06:04+0000
65524010,Cat,Domestic Short Hair,Baby,Female,Small,,Blossom,adoptable,2023-07-20T17:06:04+0000
65524026,Cat,Siamese,Senior,Female,Medium,,Goose,adoptable,2023-07-20T17:06:04+0000
65524014,Cat,Domestic Short Hair,Baby,Male,Small,,Lennon,adoptable,2023-07-20T17:06:04+0000
65524022,Cat,Domestic Long Hair,Senior,Male,Extra Large,"Meet Essence, the legendary senior black cat who&amp;#39;s the reigning heavyweight champion of the fur kingdom! Despite his extra &amp;#34;fluffiness,&amp;#34;...",Essence,adoptable,2023-07-20T17:06:04+0000
65524020,Cat,Domestic Short Hair,Senior,Male,Large,"Hi, I&amp;#39;m Scooter!

If you&amp;#39;re searching for the perfect couch potato, I&amp;#39;m your guy. If you adopt me, you can...",Scooter,adoptable,2023-07-20T17:06:04+0000
65524006,Cat,Domestic Medium Hair,Adult,Female,Small,,Macie,adoptable,2023-07-20T17:06:01+0000
65524004,Cat,Domestic Short Hair,Baby,Male,Small,,Merry,adoptable,2023-07-20T17:05:49+0000
65523995,Cat,Domestic Short Hair,Adult,Female,Medium,Frieda is a friendly and playful gal up for adoption. She is outgoing and seems o get along well with...,Freida ,adoptable,2023-07-20T17:04:52+0000
65523994,Cat,Domestic Short Hair,Young,Male,Medium,,Scar,adoptable,2023-07-20T17:04:41+0000
65523992,Cat,Domestic Short Hair,Adult,Male,Medium,Please make sure to read the narrative below our pet&amp;#39;s photos as you will find a description of our pet...,231095 Elmer,adoptable,2023-07-20T17:04:10+0000
65523990,Cat,American Shorthair,Baby,Male,Medium,,F166,adoptable,2023-07-20T17:04:06+0000
65523984,Cat,Tortoiseshell,Baby,Female,Medium,This precious little girl has had a really tough life so far. She was found trapped under a truck with...,Willow,adoptable,2023-07-20T17:03:24+0000
